DATE,GDP(십억원),GNI(십억원),GDP_GROWTH(%),KOSPI,국고채(3년)(%),국고채(10년)(%),뉴스심리지수,경제심리지수,수출금액지수,수입금액지수,수출물가지수(원화기준),수출물가지수(계약통화기준),수출물가지수(달러기준),수입물가지수(원화기준),수입물가지수(계약통화기준),수입물가지수(달러기준),대외채권,대외채무,순대외채권,외환보유액(천달러),기준금리,CD(91일),KOFR(공시RFR),"무담보콜금리(1일, 전체거래)",경상수지(계절조정),CPI,PPI,원/미국달러(매매기준율),일본엔/달러,달러/유로,중국위안/달러
1960-10-10,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-11,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-12,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-13,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-14,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-15,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-16,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-17,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-18,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-19,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-20,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-21,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-22,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-23,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-24,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-25,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-26,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-27,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-28,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-29,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-30,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-31,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-01,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-02,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-03,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-04,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-05,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-06,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-07,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-08,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-09,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-10,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-11,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-12,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-13,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-14,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-15,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-16,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-17,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-18,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-19,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-20,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-21,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-22,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-23,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-24,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-25,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-26,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-27,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-28,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-29,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-11-30,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-01,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-02,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-03,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-04,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-05,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-06,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-07,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-08,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-09,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-10,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-11,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-12,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-13,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-14,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-15,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-16,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-17,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-18,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-19,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-20,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-21,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-22,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-23,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-24,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-25,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-26,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-27,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-28,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-29,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-30,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-12-31,7834.3,8977.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-02,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-03,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-04,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-05,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-06,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-07,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-08,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-10,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-11,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-12,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-13,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-14,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-15,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-17,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-18,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-19,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-20,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-21,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-22,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-24,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-25,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-26,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-27,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-28,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-29,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-30,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-31,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-01,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-02,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-03,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-04,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-05,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-06,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-07,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-08,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-09,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-10,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-11,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-12,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-13,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-14,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-15,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-16,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-17,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-18,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-19,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-20,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-21,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-22,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-23,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-24,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-25,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-26,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-27,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-28,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-01,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-02,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-03,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-04,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-05,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-06,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-07,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-08,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-09,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-10,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-11,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-12,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-13,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-14,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-15,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-16,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-17,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-18,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-19,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-20,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-21,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-22,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-23,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-24,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-25,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-26,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-27,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-28,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-29,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-30,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-31,8081.8,9135.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-01,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-02,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-03,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-04,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-05,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-06,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-07,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-08,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-09,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-10,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-11,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-12,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-13,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-14,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-15,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-16,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-17,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-18,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-19,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-20,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-21,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-22,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-23,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-24,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-25,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-26,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-27,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-28,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-29,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-30,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-01,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-02,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-03,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-04,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-05,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-06,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-07,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-08,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-09,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-10,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-11,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-12,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-13,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-14,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-15,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-16,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-17,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-18,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-19,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-20,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-21,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-22,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-23,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-24,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-25,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-26,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-27,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-28,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-29,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-30,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-31,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-01,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-02,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-03,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-04,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-05,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-06,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-07,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-08,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-09,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-10,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-11,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-12,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-13,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-14,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-15,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-16,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-17,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-18,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-19,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-20,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-21,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-22,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-23,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-24,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-25,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-26,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-27,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-28,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-29,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-30,8431.4,9605.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-01,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-02,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-03,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-04,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-05,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-06,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-07,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-08,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-09,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-10,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-11,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-12,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-13,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-14,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-15,8279.5,9387.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
